order_ref,status,category,resolution,confidence,delta,note
ORD-2300,exception,duplicate_settlement,needs_review,0.30,41507.20,"2 settlement rows for one payment (₹85,070.60 total credited) — looks like a duplicate payout."
ORD-2301,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2302,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2303,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2304,exception,amount_anomaly,needs_review,0.20,-2464.95,"Settlement credit (₹650.38) is far from the expected net (₹3,115.33) — too large to explain as a fee. Flagged for review."
ORD-2305,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2306,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2307,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2308,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2309,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2310,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2311,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2312,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2313,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2314,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2315,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2316,exception,duplicate_settlement,needs_review,0.30,8980.60,"2 settlement rows for one payment (₹18,406.08 total credited) — looks like a duplicate payout."
ORD-2317,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2318,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2319,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2320,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2321,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2322,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2323,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2324,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2325,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2326,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2327,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2328,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2329,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2330,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2331,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2332,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2333,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2334,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2335,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2336,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2337,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2338,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2339,exception,settlement_fee_adjustment,resolved_automatically,0.90,-80.23,Settlement is ₹80.23 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2340,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2341,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2342,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2343,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2344,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2345,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2346,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2347,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2348,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2349,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2350,exception,amount_anomaly,needs_review,0.20,1699.27,"Settlement credit (₹2,864.74) is far from the expected net (₹1,165.47) — too large to explain as a fee. Flagged for review."
ORD-2351,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2352,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2353,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2354,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2355,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2356,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2357,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2358,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2359,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2360,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2361,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2362,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2363,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2364,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2365,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2366,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2367,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2368,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2369,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2370,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2371,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2372,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2373,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2374,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2375,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2376,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2377,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2378,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2379,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2380,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2381,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2382,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2383,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2384,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2385,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2386,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2387,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2388,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2389,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2390,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2391,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2392,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2393,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2394,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2395,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2396,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2397,exception,settlement_fee_adjustment,resolved_automatically,0.90,-553.34,Settlement is ₹553.34 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2398,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2399,exception,duplicate_settlement,needs_review,0.30,3212.25,"2 settlement rows for one payment (₹6,583.62 total credited) — looks like a duplicate payout."
ORD-2400,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2401,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2402,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2403,exception,duplicate_settlement,needs_review,0.30,7673.47,"2 settlement rows for one payment (₹15,727.08 total credited) — looks like a duplicate payout."
ORD-2404,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2405,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2406,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2407,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2408,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2409,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2410,exception,delayed_settlement,resolved_automatically,0.75,2.00,Settlement landed 2 days after processing (expected 1) — bank-side delay.
ORD-2411,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2412,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2413,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2414,matched,clean,,0.99,1.81,"Payment, settlement and invoice agree within tolerance."
ORD-2415,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2416,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2417,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2418,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2419,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2420,exception,delayed_settlement,resolved_automatically,0.75,6.00,Settlement landed 6 days after processing (expected 1) — bank-side delay.
ORD-2421,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2422,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2423,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2424,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2425,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2426,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2427,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2428,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2429,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2430,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2431,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2432,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2433,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2434,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2435,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2436,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2437,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2438,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2439,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2440,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2441,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2442,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2443,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2444,exception,delayed_settlement,resolved_automatically,0.75,4.00,Settlement landed 4 days after processing (expected 1) — bank-side delay.
ORD-2445,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2446,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2447,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2448,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2449,exception,missing_bank_record,insufficient_evidence,0.50,0.00,Payment and invoice exist but no bank settlement yet — likely in transit.
ORD-2450,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2451,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2452,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2453,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2454,exception,settlement_fee_adjustment,resolved_automatically,0.90,-1258.05,"Settlement is ₹1,258.05 below the expected net — consistent with an additional deduction/GST rounding on the payout."
ORD-2455,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2456,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2457,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2458,exception,settlement_fee_adjustment,resolved_automatically,0.90,-434.90,Settlement is ₹434.90 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2459,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2460,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2461,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2462,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2463,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2464,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2465,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2466,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2467,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2468,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2469,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2470,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2471,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2472,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2473,exception,duplicate_settlement,needs_review,0.30,1118.01,"2 settlement rows for one payment (₹2,291.40 total credited) — looks like a duplicate payout."
ORD-2474,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2475,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2476,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2477,exception,amount_anomaly,needs_review,0.20,-1727.89,"Settlement credit (₹24,163.77) is far from the expected net (₹25,891.66) — too large to explain as a fee. Flagged for review."
ORD-2478,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2479,exception,amount_anomaly,needs_review,0.20,-2061.49,"Settlement credit (₹-644.48) is far from the expected net (₹1,417.01) — too large to explain as a fee. Flagged for review."
ORD-2480,exception,settlement_fee_adjustment,resolved_automatically,0.90,-120.92,Settlement is ₹120.92 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2481,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2482,exception,duplicate_settlement,needs_review,0.30,43398.43,"2 settlement rows for one payment (₹88,946.74 total credited) — looks like a duplicate payout."
ORD-2483,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2484,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2485,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2486,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2487,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2488,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2489,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2490,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2491,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2492,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2493,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2494,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2495,exception,settlement_fee_adjustment,resolved_automatically,0.90,-493.78,Settlement is ₹493.78 below the expected net — consistent with an additional deduction/GST rounding on the payout.
ORD-2496,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2497,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2498,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2499,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
